category,era,exif,film_genre,id,key_film,literary_parallel,name,short,stage,tag,tags,type,year
,,True,,,,,Photo Shoot (EXIF Source Material),photo-shoot,1,,photo-shoot|exif-grounded|film-stock|35mm|location|studio|golden-hour|practical-light,provenance_stage,
,,True,,,,,Digitization / Ingestion,digitize,2,,scanned|raw-import|color-managed|first-pass-tags,provenance_stage,
,,True,,,,,Reference Asset Curation,reference-curation,3,,reference-asset|character-bible|style-ref|master-ref|ai-ghosted|composite-source,provenance_stage,
,,False,,,,,Concept + Literary/Film Parallel Injection,concept-injection,4,,literary-parallel|film-genre-ref|intertextual|archetype|narrative-device,provenance_stage,
,,True,,,,,Prompt Engineering & Ref Selection,prompt,5,,prompt-engineered|style-preset|template|preserve-identity|heavy-transform,provenance_stage,
,,False,,,,,AI Generation,ai-gen,6,,grok-imagine|video-gen|img2img|seed-fixed,provenance_stage,
,,True,,,,,"Review, Ghosting, Iteration",iteration,7,,iteration|ghosted|composite|human-review-pass|approved|rejected,provenance_stage,
,,False,,,,,Final Output + New Memory,final,8,,final|proof-sheet|template-registered|public|client-delivery,provenance_stage,
,,,,,,,,,,action,,flat_tag,
,,,,,,,,,,adventure,,flat_tag,
,,,,,,,,,,comedy,,flat_tag,
,,,,,,,,,,crime,,flat_tag,
,,,,,,,,,,drama,,flat_tag,
,,,,,,,,,,fantasy,,flat_tag,
,,,,,,,,,,historical,,flat_tag,
,,,,,,,,,,horror,,flat_tag,
,,,,,,,,,,mystery,,flat_tag,
,,,,,,,,,,romance,,flat_tag,
,,,,,,,,,,sci-fi,,flat_tag,
,,,,,,,,,,thriller,,flat_tag,
,,,,,,,,,,western,,flat_tag,
,,,,,,,,,,musical,,flat_tag,
,,,,,,,,,,war,,flat_tag,
,,,,,,,,,,biopic,,flat_tag,
,,,,,,,,,,documentary,,flat_tag,
,,,,,,,,,,experimental,,flat_tag,
,,,,,,,,,,film-noir,,flat_tag,
,,,,,,,,,,neo-noir,,flat_tag,
,,,,,,,,,,spaghetti-western,,flat_tag,
,,,,,,,,,,german-expressionism,,flat_tag,
,,,,,,,,,,cyberpunk,,flat_tag,
,,,,,,,,,,roman-empire,,flat_tag,
,,,,,,,,,,gladiator,,flat_tag,
,,,,,,,,,,sword-and-sandal,,flat_tag,
,,,,,,,,,,elevated-horror,,flat_tag,
,,,,,,,,,,folk-horror,,flat_tag,
,,,,,,,,,,kodak-portra-400,,flat_tag,
,,,,,,,,,,kodak-ektar-100,,flat_tag,
,,,,,,,,,,kodak-gold-200,,flat_tag,
,,,,,,,,,,cinestill-800t,,flat_tag,
,,,,,,,,,,fuji-velvia-50,,flat_tag,
,,,,,,,,,,ilford-hp5-400-bw,,flat_tag,
,,,,,,,,,,kodachrome-64,,flat_tag,
,,,,,,,,,,heavy-35mm-film-grain-gate-weave,,flat_tag,
,,,,,,,,,,anamorphic-cinematic,,flat_tag,
,,,,,,,,,,teal-orange-blockbuster,,flat_tag,
,,,,,,,,,,bleach-bypass-lut,,flat_tag,
,,,,,,,,,,panavision-c-series-anamorphic,,flat_tag,
,,,,,,,,,,cottagecore,,flat_tag,
,,,,,,,,,,dark-academia,,flat_tag,
,,,,,,,,,,light-academia,,flat_tag,
,,,,,,,,,,fairycore,,flat_tag,
,,,,,,,,,,old-money-aesthetic,,flat_tag,
,,,,,,,,,,cybercore,,flat_tag,
,,,,,,,,,,y2k-aesthetic,,flat_tag,
,,,,,,,,,,barbiecore,,flat_tag,
,,,,,,,,,,grunge-90s,,flat_tag,
,,,,,,,,,,clean-girl,,flat_tag,
,,,,,,,,,,grain,,flat_tag,
,,,,,,,,,,halation,,flat_tag,
,,,,,,,,,,lens-flare,,flat_tag,
,,,,,,,,,,anamorphic-flare,,flat_tag,
,,,,,,,,,,venetian-blind,,flat_tag,
,,,,,,,,,,double-exposure,,flat_tag,
,,,,,,,,,,chromatic-haze,,flat_tag,
,,,,,,,,,,low-key,,flat_tag,
,,,,,,,,,,shallow-dof,,flat_tag,
,,,,,,,,,,real-life-event,,flat_tag,
,,,,,,,,,,photo-shoot,,flat_tag,
,,,,,,,,,,exif-grounded,,flat_tag,
,,,,,,,,,,scanned,,flat_tag,
,,,,,,,,,,reference-asset,,flat_tag,
,,,,,,,,,,character-bible,,flat_tag,
,,,,,,,,,,ai-ghosted,,flat_tag,
,,,,,,,,,,composite-source,,flat_tag,
,,,,,,,,,,master-ref,,flat_tag,
,,,,,,,,,,prompt-engineered,,flat_tag,
,,,,,,,,,,grok-imagine,,flat_tag,
,,,,,,,,,,iteration,,flat_tag,
,,,,,,,,,,ghosted,,flat_tag,
,,,,,,,,,,final,,flat_tag,
,,,,,,,,,,comic-book,,flat_tag,
,,,,,,,,,,80s-anime,,flat_tag,
,,,,,,,,,,watercolor-portrait,,flat_tag,
,,,,,,,,,,product-showcase,,flat_tag,
,,,,,,,,,,glossy-product-shot,,flat_tag,
,,,,,,,,,,professional-headshot,,flat_tag,
,,,,,,,,,,haze-portrait,,flat_tag,
,,,,,,,,,,roman-empire,,flat_tag,
,,,,,,,,,,spaghetti-western,,flat_tag,
,,,,,,,,,,voiceover,,flat_tag,
,,,,,,,,,,flashback,,flat_tag,
,,,,,,,,,,non-linear,,flat_tag,
,,,,,,,,,,parallel-timeline,,flat_tag,
,,,,,,,,,,femme-fatale,,flat_tag,
,,,,,,,,,,anti-hero,,flat_tag,
,,,,,,,,,,35mm,,flat_tag,
,,,,,,,,,,medium-format,,flat_tag,
,,,,,,,,,,vhs,,flat_tag,
,,,,,,,,,,streaming,,flat_tag,
,,,,,,,,,,gif-able,,flat_tag,
,,,,,,,,,,memeable,,flat_tag,
,,,,,,,,,,superheavy,,flat_tag,
,,,,,,,,,,kodak-instapix,,flat_tag,
,,,,,,,,,,text-bible,,flat_tag,
,,,,,,,,,,watercolor-ref,,flat_tag,
,,,,,,,,,,sahelanthropus,,flat_tag,
,,,,,,,,,,lucy,,flat_tag,
,,,,,,,,,,turkana-boy,,flat_tag,
,,,,,,,,,,neanderthal,,flat_tag,
,,,,,,,,,,denisovan,,flat_tag,
,,,,,,,,,,hominin-stage,,flat_tag,
,,,,,,,,,,fossil-ref,,flat_tag,
,,,,,,,,,,mixamo-rig,,flat_tag,
,,,,,,,,,,threejs-blend,,flat_tag,
,,,,,,,,,,holo-badge,,flat_tag,
,,,,,,,,,,solid-lineage-column,,flat_tag,
,,,,,,,,,,genetic-migration,,flat_tag,
,,,,,,,,,,holo-skull-badge,,flat_tag,
medium,,,,,,,,,,film,,category_tag,
medium,,,,,,,,,,video,,category_tag,
medium,,,,,,,,,,gif,,category_tag,
medium,,,,,,,,,,stream,,category_tag,
medium,,,,,,,,,,photo,,category_tag,
medium,,,,,,,,,,illustration,,category_tag,
medium,,,,,,,,,,comic,,category_tag,
medium,,,,,,,,,,painting,,category_tag,
medium,,,,,,,,,,3d-render,,category_tag,
medium,,,,,,,,,,product-viz,,category_tag,
medium,,,,,,,,,,portrait,,category_tag,
medium,,,,,,,,,,landscape,,category_tag,
format_delivery,,,,,,,,,,35mm,,category_tag,
format_delivery,,,,,,,,,,medium-format,,category_tag,
format_delivery,,,,,,,,,,large-format,,category_tag,
format_delivery,,,,,,,,,,vhs,,category_tag,
format_delivery,,,,,,,,,,betacam,,category_tag,
format_delivery,,,,,,,,,,digital-cinema,,category_tag,
format_delivery,,,,,,,,,,dvd,,category_tag,
format_delivery,,,,,,,,,,bluray,,category_tag,
format_delivery,,,,,,,,,,streaming,,category_tag,
format_delivery,,,,,,,,,,ig-story,,category_tag,
format_delivery,,,,,,,,,,tiktok,,category_tag,
format_delivery,,,,,,,,,,youtube,,category_tag,
format_delivery,,,,,,,,,,proof-sheet,,category_tag,
film_stock_emulation,,,,,,,,,,kodak-portra-400,,category_tag,
film_stock_emulation,,,,,,,,,,kodak-ektar-100,,category_tag,
film_stock_emulation,,,,,,,,,,kodak-gold-200,,category_tag,
film_stock_emulation,,,,,,,,,,kodak-ultramax-400,,category_tag,
film_stock_emulation,,,,,,,,,,kodak-tri-x-400-bw,,category_tag,
film_stock_emulation,,,,,,,,,,fuji-velvia-50,,category_tag,
film_stock_emulation,,,,,,,,,,fuji-superia-400,,category_tag,
film_stock_emulation,,,,,,,,,,fuji-pro-400h,,category_tag,
film_stock_emulation,,,,,,,,,,fuji-acros-100-bw,,category_tag,
film_stock_emulation,,,,,,,,,,fuji-eterna-500,,category_tag,
film_stock_emulation,,,,,,,,,,cinestill-50d,,category_tag,
film_stock_emulation,,,,,,,,,,cinestill-800t,,category_tag,
film_stock_emulation,,,,,,,,,,ilford-hp5-400-bw,,category_tag,
film_stock_emulation,,,,,,,,,,kodachrome-64,,category_tag,
film_stock_emulation,,,,,,,,,,kodak-vision3-500t,,category_tag,
film_stock_emulation,,,,,,,,,,arri-alexa-logc-to-rec709,,category_tag,
film_stock_emulation,,,,,,,,,,heavy-35mm-film-grain-gate-weave,,category_tag,
cinematic_style,,,,,,,,,,anamorphic-cinematic,,category_tag,
cinematic_style,,,,,,,,,,panavision-c-series-anamorphic,,category_tag,
cinematic_style,,,,,,,,,,cooke-anamorphic,,category_tag,
cinematic_style,,,,,,,,,,anamorphic-lens-breathing-flare,,category_tag,
cinematic_style,,,,,,,,,,teal-orange-blockbuster,,category_tag,
cinematic_style,,,,,,,,,,teal-orange-hollywood-cc,,category_tag,
cinematic_style,,,,,,,,,,bleach-bypass-lut,,category_tag,
cinematic_style,,,,,,,,,,cross-process-e-6-to-c-41,,category_tag,
cinematic_style,,,,,,,,,,day-for-night-lut,,category_tag,
cinematic_style,,,,,,,,,,j-cut-l-cut-audio-lead,,category_tag,
cinematic_style,,,,,,,,,,fisheye-extreme-distortion,,category_tag,
pinterest_aesthetic,,,,,,,,,,cottagecore,,category_tag,
pinterest_aesthetic,,,,,,,,,,dark-academia,,category_tag,
pinterest_aesthetic,,,,,,,,,,light-academia,,category_tag,
pinterest_aesthetic,,,,,,,,,,fairycore,,category_tag,
pinterest_aesthetic,,,,,,,,,,old-money-aesthetic,,category_tag,
pinterest_aesthetic,,,,,,,,,,clean-girl,,category_tag,
pinterest_aesthetic,,,,,,,,,,y2k-aesthetic,,category_tag,
pinterest_aesthetic,,,,,,,,,,cybercore,,category_tag,
pinterest_aesthetic,,,,,,,,,,grunge-90s,,category_tag,
pinterest_aesthetic,,,,,,,,,,barbiecore,,category_tag,
genre_core,,,,,,,,,,action,,category_tag,
genre_core,,,,,,,,,,adventure,,category_tag,
genre_core,,,,,,,,,,comedy,,category_tag,
genre_core,,,,,,,,,,crime,,category_tag,
genre_core,,,,,,,,,,drama,,category_tag,
genre_core,,,,,,,,,,fantasy,,category_tag,
genre_core,,,,,,,,,,historical,,category_tag,
genre_core,,,,,,,,,,horror,,category_tag,
genre_core,,,,,,,,,,mystery,,category_tag,
genre_core,,,,,,,,,,romance,,category_tag,
genre_core,,,,,,,,,,sci-fi,,category_tag,
genre_core,,,,,,,,,,thriller,,category_tag,
genre_core,,,,,,,,,,western,,category_tag,
genre_core,,,,,,,,,,musical,,category_tag,
genre_core,,,,,,,,,,war,,category_tag,
genre_core,,,,,,,,,,biopic,,category_tag,
genre_core,,,,,,,,,,documentary,,category_tag,
genre_core,,,,,,,,,,experimental,,category_tag,
film_specific,,,,,,,,,,film-noir,,category_tag,
film_specific,,,,,,,,,,neo-noir,,category_tag,
film_specific,,,,,,,,,,spaghetti-western,,category_tag,
film_specific,,,,,,,,,,german-expressionism,,category_tag,
film_specific,,,,,,,,,,french-new-wave,,category_tag,
film_specific,,,,,,,,,,italian-neo-realism,,category_tag,
film_specific,,,,,,,,,,new-hollywood,,category_tag,
film_specific,,,,,,,,,,blockbuster,,category_tag,
film_specific,,,,,,,,,,indie,,category_tag,
film_specific,,,,,,,,,,elevated-horror,,category_tag,
film_specific,,,,,,,,,,folk-horror,,category_tag,
film_specific,,,,,,,,,,cyberpunk,,category_tag,
film_specific,,,,,,,,,,space-opera,,category_tag,
film_specific,,,,,,,,,,sword-and-sandal,,category_tag,
film_specific,,,,,,,,,,peplum,,category_tag,
film_specific,,,,,,,,,,gladiator,,category_tag,
film_specific,,,,,,,,,,roman-empire,,category_tag,
film_specific,,,,,,,,,,samurai,,category_tag,
film_specific,,,,,,,,,,kaiju,,category_tag,
visual_technique,,,,,,,,,,grain,,category_tag,
visual_technique,,,,,,,,,,halation,,category_tag,
visual_technique,,,,,,,,,,light-leak,,category_tag,
visual_technique,,,,,,,,,,gate-weave,,category_tag,
visual_technique,,,,,,,,,,lens-flare,,category_tag,
visual_technique,,,,,,,,,,anamorphic-flare,,category_tag,
visual_technique,,,,,,,,,,bokeh,,category_tag,
visual_technique,,,,,,,,,,shallow-dof,,category_tag,
visual_technique,,,,,,,,,,deep-focus,,category_tag,
visual_technique,,,,,,,,,,long-take,,category_tag,
visual_technique,,,,,,,,,,whip-pan,,category_tag,
visual_technique,,,,,,,,,,dutch-angle,,category_tag,
visual_technique,,,,,,,,,,venetian-blind,,category_tag,
visual_technique,,,,,,,,,,double-exposure,,category_tag,
visual_technique,,,,,,,,,,chromatic-aberration,,category_tag,
visual_technique,,,,,,,,,,vignette,,category_tag,
visual_technique,,,,,,,,,,teal-orange,,category_tag,
visual_technique,,,,,,,,,,bleach-bypass,,category_tag,
visual_technique,,,,,,,,,,cross-process,,category_tag,
visual_technique,,,,,,,,,,high-contrast,,category_tag,
visual_technique,,,,,,,,,,low-key,,category_tag,
visual_technique,,,,,,,,,,silhouette,,category_tag,
narrative_device,,,,,,,,,,voiceover,,category_tag,
narrative_device,,,,,,,,,,flashback,,category_tag,
narrative_device,,,,,,,,,,non-linear,,category_tag,
narrative_device,,,,,,,,,,chapter-structure,,category_tag,
narrative_device,,,,,,,,,,unreliable-narrator,,category_tag,
narrative_device,,,,,,,,,,frame-story,,category_tag,
narrative_device,,,,,,,,,,parallel-timeline,,category_tag,
narrative_device,,,,,,,,,,in-medias-res,,category_tag,
narrative_device,,,,,,,,,,macguffin,,category_tag,
narrative_device,,,,,,,,,,femme-fatale,,category_tag,
narrative_device,,,,,,,,,,anti-hero,,category_tag,
narrative_device,,,,,,,,,,hero-journey,,category_tag,
narrative_device,,,,,,,,,,tragic-arc,,category_tag,
provenance,,,,,,,,,,real-life-event,,category_tag,
provenance,,,,,,,,,,photo-shoot,,category_tag,
provenance,,,,,,,,,,exif-grounded,,category_tag,
provenance,,,,,,,,,,scanned,,category_tag,
provenance,,,,,,,,,,raw-import,,category_tag,
provenance,,,,,,,,,,reference-asset,,category_tag,
provenance,,,,,,,,,,character-bible,,category_tag,
provenance,,,,,,,,,,style-ref,,category_tag,
provenance,,,,,,,,,,master-ref,,category_tag,
provenance,,,,,,,,,,ai-ghosted,,category_tag,
provenance,,,,,,,,,,composite-source,,category_tag,
provenance,,,,,,,,,,prompt-engineered,,category_tag,
provenance,,,,,,,,,,grok-imagine,,category_tag,
provenance,,,,,,,,,,iteration,,category_tag,
provenance,,,,,,,,,,ghosted,,category_tag,
provenance,,,,,,,,,,final,,category_tag,
provenance,,,,,,,,,,training-source-potential,,category_tag,
psych_loop_stage,,,,,,,,,,real-life-ground,,category_tag,
psych_loop_stage,,,,,,,,,,perception-memory,,category_tag,
psych_loop_stage,,,,,,,,,,photo-shoot-selection,,category_tag,
psych_loop_stage,,,,,,,,,,idealization-pressure,,category_tag,
psych_loop_stage,,,,,,,,,,lit-film-injection,,category_tag,
psych_loop_stage,,,,,,,,,,intertextuality,,category_tag,
psych_loop_stage,,,,,,,,,,prompt-negotiation,,category_tag,
psych_loop_stage,,,,,,,,,,ai-dream-completion,,category_tag,
psych_loop_stage,,,,,,,,,,human-review-catharsis,,category_tag,
psych_loop_stage,,,,,,,,,,ghosting-erasure,,category_tag,
psych_loop_stage,,,,,,,,,,new-memory-formation,,category_tag,
psych_loop_stage,,,,,,,,,,derivative-work,,category_tag,
project_specific,,,,,,,,,,superheavy,,category_tag,
project_specific,,,,,,,,,,kodak-instapix,,category_tag,
project_specific,,,,,,,,,,watercolor-master-ref,,category_tag,
project_specific,,,,,,,,,,text-bible-reconstruction,,category_tag,
project_specific,,,,,,,,,,dark-academia,,category_tag,
project_specific,,,,,,,,,,cyberpunk-neon,,category_tag,
project_specific,,,,,,,,,,haze-portrait,,category_tag,
project_specific,,,,,,,,,,roman-empire,,category_tag,
project_specific,,,,,,,,,,spaghetti-western,,category_tag,
project_specific,,,,,,,,,,comic-book,,category_tag,
project_specific,,,,,,,,,,80s-anime,,category_tag,
project_specific,,,,,,,,,,chibi,,category_tag,
project_specific,,,,,,,,,,professional-headshot,,category_tag,
project_specific,,,,,,,,,,product-showcase,,category_tag,
project_specific,,,,,,,,,,glossy-product-shot,,category_tag,
project_specific,,,,,,,,,,quality-enhancer,,category_tag,
project_specific,,,,,,,,,,object-remover,,category_tag,
project_specific,,,,,,,,,,logo-editor,,category_tag,
project_specific,,,,,,,,,,3d-animation,,category_tag,
project_specific,,,,,,,,,,video-game,,category_tag,
project_specific,,,,,,,,,,funky-dance,,category_tag,
project_specific,,,,,,,,,,future-family,,category_tag,
project_specific,,,,,,,,,,future-past,,category_tag,
project_specific,,,,,,,,,,sunny-morning,,category_tag,
project_specific,,,,,,,,,,laser-fight,,category_tag,
project_specific,,,,,,,,,,ad-astra,,category_tag,
project_specific,,,,,,,,,,add-girlfriend,,category_tag,
project_specific,,,,,,,,,,holo-skull-badge,,category_tag,
hominin_ancestry,,,,,,,,,,sahelanthropus,,category_tag,
hominin_ancestry,,,,,,,,,,ardipithecus,,category_tag,
hominin_ancestry,,,,,,,,,,australopithecus-afarensis,,category_tag,
hominin_ancestry,,,,,,,,,,lucy,,category_tag,
hominin_ancestry,,,,,,,,,,paranthropus-boisei,,category_tag,
hominin_ancestry,,,,,,,,,,homo-habilis,,category_tag,
hominin_ancestry,,,,,,,,,,homo-erectus,,category_tag,
hominin_ancestry,,,,,,,,,,turkana-boy,,category_tag,
hominin_ancestry,,,,,,,,,,homo-heidelbergensis,,category_tag,
hominin_ancestry,,,,,,,,,,neanderthal,,category_tag,
hominin_ancestry,,,,,,,,,,denisovan,,category_tag,
hominin_ancestry,,,,,,,,,,early-homo-sapiens,,category_tag,
hominin_ancestry,,,,,,,,,,jebel-irhoud,,category_tag,
hominin_ancestry,,,,,,,,,,anatomically-modern-sapiens,,category_tag,
hominin_ancestry,,,,,,,,,,regional-populations,,category_tag,
fossil_refs,,,,,,,,,,smithsonian-3d-hominin,,category_tag,
fossil_refs,,,,,,,,,,australian-museum-skulls,,category_tag,
fossil_refs,,,,,,,,,,bone-clones-fossil-hominid,,category_tag,
fossil_refs,,,,,,,,,,bone-clones-set,,category_tag,
fossil_refs,,,,,,,,,,turkana-boy-cast,,category_tag,
fossil_refs,,,,,,,,,,kabwe-broken-hill,,category_tag,
fossil_refs,,,,,,,,,,neanderthal-amud,,category_tag,
fossil_refs,,,,,,,,,,lucy-skeleton,,category_tag,
fossil_refs,,,,,,,,,,zinjanthropus,,category_tag,
mixamo_threejs,,,,,,,,,,mixamo-auto-rig,,category_tag,
mixamo_threejs,,,,,,,,,,mixamo-ik-pose,,category_tag,
mixamo_threejs,,,,,,,,,,mixamo-animation-library,,category_tag,
mixamo_threejs,,,,,,,,,,threejs-skinning,,category_tag,
mixamo_threejs,,,,,,,,,,threejs-additive-blending,,category_tag,
mixamo_threejs,,,,,,,,,,skinned-mesh,,category_tag,
mixamo_threejs,,,,,,,,,,morph-target,,category_tag,
mixamo_threejs,,,,,,,,,,additive-clip,,category_tag,
mixamo_threejs,,,,,,,,,,fbx-export,,category_tag,
mixamo_threejs,,,,,,,,,,rig-ik-fk,,category_tag,
holo_id_badge,,,,,,,,,,holo-id-card,,category_tag,
holo_id_badge,,,,,,,,,,holographic-badge,,category_tag,
holo_id_badge,,,,,,,,,,spline-3d,,category_tag,
holo_id_badge,,,,,,,,,,iridescent-glass,,category_tag,
holo_id_badge,,,,,,,,,,floating-portrait,,category_tag,
holo_id_badge,,,,,,,,,,timeline-scrubber,,category_tag,
holo_id_badge,,,,,,,,,,genetic-pie,,category_tag,
holo_id_badge,,,,,,,,,,migration-path-viz,,category_tag,
holo_id_badge,,,,,,,,,,ancestor-recon,,category_tag,
holo_id_badge,,,,,,,,,,interactive-lineage,,category_tag,
lineage_migration,,,,,,,,,,out-of-africa,,category_tag,
lineage_migration,,,,,,,,,,first-exodus-1.8mya,,category_tag,
lineage_migration,,,,,,,,,,main-ooa-55kya,,category_tag,
lineage_migration,,,,,,,,,,neanderthal-admixture,,category_tag,
lineage_migration,,,,,,,,,,denisovan-admixture,,category_tag,
lineage_migration,,,,,,,,,,erectus-dispersal,,category_tag,
lineage_migration,,,,,,,,,,heidelbergensis-lca,,category_tag,
lineage_migration,,,,,,,,,,solid-column-lineage,,category_tag,
lineage_migration,,,,,,,,,,genetic-estimation,,category_tag,
lineage_migration,,,,,,,,,,reticulate-evolution,,category_tag,
